Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1
0.000,1.832,,
0.050,1.793,-0.53,
0.100,1.779,-0.53,-0.2
0.150,1.748,-0.54,-0.4
0.200,1.719,-0.60,-0.3
0.250,1.690,-0.59,0.1
0.300,1.658,-0.56,0.3
0.350,1.633,-0.56,0.3
0.400,1.607,-0.54,0.3
0.450,1.574,-0.52,0.4
0.500,1.554,-0.50,0.3
0.550,1.529,-0.48,0.3
0.600,1.501,-0.48,0.3
0.650,1.481,-0.45,0.3
0.700,1.458,-0.44,0.2
0.750,1.436,-0.44,0.2
0.800,1.415,-0.42,0.2
0.850,1.394,-0.41,0.3
0.900,1.374,-0.39,0.3
0.950,1.355,-0.38,0.3
1.000,1.336,-0.37,0.3
1.050,1.318,-0.35,0.3
1.100,1.301,-0.34,0.3
1.150,1.284,-0.32,0.3
1.200,1.268,-0.31,0.3
1.250,1.253,-0.30,0.3
1.300,1.239,-0.28,0.3
1.350,1.225,-0.27,0.3
1.400,1.212,-0.25,0.3
1.450,1.200,-0.24,0.3
1.500,1.188,-0.22,0.3
1.550,1.177,-0.21,0.3
1.600,1.167,-0.20,0.3
1.650,1.157,-0.18,0.3
1.700,1.149,-0.17,0.3
1.750,1.140,-0.16,0.3
1.800,1.133,-0.14,0.3
1.850,1.126,-0.13,0.3
1.900,1.120,-0.12,0.3
1.950,1.114,-0.10,0.3
2.000,1.109,-0.09,0.3
2.050,1.105,-0.07,0.3
2.100,1.102,-0.06,0.3
2.150,1.099,-0.05,0.3
2.200,1.097,-0.03,0.3
2.250,1.096,-0.02,0.3
2.300,1.095,0.00,0.3
2.350,1.095,0.01,0.3
2.400,1.096,0.02,0.3
2.450,1.098,0.04,0.3
2.500,1.100,0.05,0.3
2.550,1.103,0.06,0.3
2.600,1.106,0.08,0.3
2.650,1.110,0.09,0.3
2.700,1.116,0.11,0.3
2.750,1.121,0.12,0.3
2.800,1.127,0.13,0.3
2.850,1.135,0.15,0.3
2.900,1.142,0.16,0.3
2.950,1.150,0.18,0.3
3.000,1.160,0.19,0.3
3.050,1.170,0.20,0.3
3.100,1.180,0.22,0.3
3.150,1.191,0.23,0.3
3.200,1.203,0.24,0.3
3.250,1.216,0.26,0.3
3.300,1.229,0.27,0.3
3.350,1.243,0.29,0.3
3.400,1.258,0.30,0.3
3.450,1.273,0.32,0.3
3.500,1.289,0.33,0.3
3.550,1.306,0.34,0.3
3.600,1.324,0.36,0.3
3.650,1.342,0.37,0.2
3.700,1.361,0.38,0.3
3.750,1.381,0.39,0.4
3.800,1.398,0.42,0.4
3.850,1.423,0.44,0.3
3.900,1.445,0.45,0.2
3.950,1.467,0.45,0.3
4.000,1.487,0.48,0.3
4.050,1.515,0.49,0.3
4.100,1.540,0.49,0.3
4.150,1.562,0.51,0.4
4.200,1.589,0.54,0.4
4.250,1.619,0.57,0.3
4.300,1.646,0.56,0.1
4.350,1.675,0.57,0.1
4.400,1.703,0.58,0.1
4.450,1.732,0.58,
4.500,1.762,0.57,
4.550,1.789,,
