Time (s) Background,Geiger Counts (counts/sample) Background,RootN (cts/5s) Background,Background Subtracted (cts/5s) Background,Time (s) Background2,Geiger Counts (counts/sample) Background2,RootN (cts/5s) Background2,Background Subtracted (cts/5s) Background2,Time (s) Barium,Geiger Counts (counts/sample) Barium,RootN (cts/5s) Barium,Background Subtracted (cts/5s) Barium,Time (s) Radium,Geiger Counts (counts/sample) Radium,RootN (cts/5s) Radium,Background Subtracted (cts/5s) Radium,Time (s) RadSamples,Geiger Counts (counts/sample) RadSamples,RootN (cts/5s) RadSamples,Background Subtracted (cts/5s) RadSamples
5.000,1,1.00,-0.52,5.000,1,1.00,-0.52,5.000,527,22.96,525.48,5.000,191,13.82,189.48,5.000,70,8.37,68.48
10.000,5,1.22,3.48,10.000,1,0.71,-0.52,10.000,526,16.22,524.48,10.000,214,10.06,212.48,10.000,73,5.98,71.48
15.000,0,0.82,-1.52,15.000,5,0.88,3.48,15.000,503,13.15,501.48,15.000,204,8.23,202.48,15.000,89,5.08,87.48
20.000,0,0.61,-1.52,20.000,1,0.71,-0.52,20.000,505,11.35,503.48,20.000,226,7.22,224.48,20.000,82,4.43,80.48
25.000,1,0.53,-0.52,25.000,0,0.57,-1.52,25.000,497,10.12,495.48,25.000,199,6.43,197.48,25.000,82,3.98,80.48
30.000,0,0.44,-1.52,30.000,2,0.53,0.48,30.000,456,9.15,454.48,30.000,206,5.87,204.48,30.000,82,3.64,80.48
35.000,1,0.40,-0.52,35.000,1,0.47,-0.52,35.000,445,8.40,443.48,35.000,188,5.40,186.48,35.000,80,3.37,78.48
40.000,0,0.35,-1.52,40.000,1,0.43,-0.52,40.000,456,7.82,454.48,40.000,209,5.06,207.48,40.000,69,3.13,67.48
45.000,1,0.33,-0.52,45.000,1,0.40,-0.52,45.000,457,7.35,455.48,45.000,206,4.77,204.48,45.000,84,2.96,82.48
50.000,3,0.35,1.48,50.000,2,0.39,0.48,50.000,444,6.94,442.48,50.000,217,4.54,215.48,50.000,73,2.80,71.48
55.000,1,0.33,-0.52,55.000,0,0.35,-1.52,55.000,413,6.57,411.48,55.000,213,4.33,211.48,55.000,77,2.67,75.48
60.000,4,0.34,2.48,60.000,1,0.33,-0.52,60.000,398,6.25,396.48,60.000,193,4.14,191.48,60.000,66,2.54,64.48
65.000,0,0.32,-1.52,65.000,2,0.33,0.48,65.000,412,5.98,410.48,65.000,197,3.97,195.48,65.000,82,2.44,80.48
70.000,1,0.30,-0.52,70.000,3,0.33,1.48,70.000,369,5.72,367.48,70.000,228,3.84,226.48,70.000,73,2.35,71.48
75.000,0,0.28,-1.52,75.000,3,0.33,1.48,75.000,401,5.50,399.48,75.000,197,3.70,195.48,75.000,75,2.27,73.48
80.000,2,0.28,0.48,80.000,5,0.34,3.48,80.000,378,5.30,376.48,80.000,205,3.59,203.48,80.000,70,2.19,68.48
85.000,2,0.28,0.48,85.000,3,0.33,1.48,85.000,356,5.11,354.48,85.000,190,3.47,188.48,85.000,79,2.13,77.48
90.000,1,0.27,-0.52,90.000,2,0.32,0.48,90.000,369,4.94,367.48,90.000,207,3.37,205.48,90.000,72,2.06,70.48
95.000,0,0.25,-1.52,95.000,3,0.32,1.48,95.000,366,4.79,364.48,95.000,174,3.27,172.48,95.000,58,1.99,56.48
100.000,0,0.24,-1.52,100.000,0,0.30,-1.52,100.000,353,4.65,351.48,100.000,145,3.17,143.48,100.000,67,1.94,65.48
105.000,0,0.23,-1.52,105.000,2,0.30,0.48,105.000,339,4.51,337.48,105.000,159,3.07,157.48,105.000,68,1.89,66.48
110.000,3,0.23,1.48,110.000,0,0.28,-1.52,110.000,297,4.38,295.48,110.000,166,2.99,164.48,110.000,66,1.84,64.48
115.000,1,0.23,-0.52,115.000,2,0.28,0.48,115.000,329,4.26,327.48,115.000,125,2.90,123.48,115.000,69,1.80,67.48
120.000,0,0.22,-1.52,120.000,1,0.27,-0.52,120.000,339,4.15,337.48,120.000,135,2.82,133.48,120.000,61,1.75,59.48
125.000,2,0.22,0.48,125.000,0,0.26,-1.52,125.000,336,4.05,334.48,125.000,166,2.76,164.48,125.000,5,1.68,3.48
