Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1
0.000,1.179,,
0.050,1.153,-0.52,
0.100,1.127,-0.52,0.0
0.150,1.101,-0.52,0.0
0.200,1.075,-0.52,0.0
0.250,1.048,-0.53,0.0
0.300,1.022,-0.53,0.0
0.350,0.996,-0.52,0.0
0.400,0.970,-0.52,0.0
0.450,0.943,-0.52,0.0
0.500,0.918,-0.52,0.0
0.550,0.892,-0.52,0.0
0.600,0.866,-0.52,0.0
0.650,0.840,-0.51,0.1
0.700,0.814,-0.51,0.0
0.750,0.789,-0.51,0.0
0.800,0.764,-0.51,0.0
0.850,0.739,-0.51,0.0
0.900,0.713,-0.50,0.0
0.950,0.688,-0.50,0.0
1.000,0.663,-0.50,0.0
1.050,0.638,-0.50,0.0
1.100,0.614,-0.49,0.0
1.150,0.589,-0.49,0.0
1.200,0.564,-0.49,0.0
1.250,0.540,-0.49,0.1
1.300,0.516,-0.48,0.1
1.350,0.491,-0.48,0.1
1.400,0.467,-0.48,0.1
1.450,0.444,-0.48,0.1
1.500,0.420,-0.47,0.1
1.550,0.396,-0.47,0.1
1.600,0.373,-0.46,0.1
1.650,0.350,-0.46,0.0
1.700,0.327,-0.46,0.0
1.750,0.304,-0.47,0.3
1.800,0.280,-0.45,1.1
1.850,0.256,-0.39,2.4
1.900,0.238,-0.22,3.7
1.950,0.230,0.02,4.1
2.000,0.242,0.24,3.3
2.050,0.260,0.37,2.0
2.100,0.281,0.42,0.8
2.150,0.303,0.43,0.2
2.200,0.325,0.43,0.0
2.250,0.347,0.43,-0.1
2.300,0.368,0.42,-0.2
2.350,0.389,0.41,-0.1
2.400,0.410,0.40,0.0
2.450,0.428,0.41,0.1
2.500,0.449,0.42,0.1
2.550,0.472,0.43,0.0
2.600,0.493,0.43,-0.1
2.650,0.514,0.42,-0.1
2.700,0.535,0.42,0.0
2.750,0.556,0.42,0.0
2.800,0.576,0.42,0.0
2.850,0.597,0.41,0.0
2.900,0.618,0.41,0.0
2.950,0.638,0.41,0.0
3.000,0.659,0.41,0.0
3.050,0.680,0.41,0.0
3.100,0.700,0.41,0.0
3.150,0.721,0.41,3.3E-15
3.200,0.742,0.41,9.1E-5
3.250,0.762,0.41,0.0
3.300,0.783,0.41,0.0
3.350,0.803,0.41,0.0
3.400,0.824,0.41,0.0
3.450,0.844,0.41,0.0
3.500,0.865,0.41,0.0
3.550,0.886,0.41,0.0
3.600,0.906,0.41,0.0
3.650,0.927,0.41,0.0
3.700,0.947,0.41,0.0
3.750,0.968,0.41,0.0
3.800,0.989,0.41,0.0
3.850,1.009,0.41,0.0
3.900,1.030,0.41,0.0
3.950,1.051,0.41,0.0
4.000,1.071,0.41,0.0
4.050,1.092,0.41,0.0
4.100,1.112,0.41,0.0
4.150,1.133,0.41,0.0
4.200,1.154,0.41,0.0
4.250,1.174,0.41,0.0
4.300,1.195,0.41,0.0
4.350,1.216,0.41,0.0
4.400,1.236,0.41,0.0
4.450,1.257,0.41,0.0
4.500,1.278,0.41,0.0
4.550,1.297,0.41,0.0
4.600,1.318,0.41,0.1
4.650,1.339,0.42,0.1
4.700,1.360,0.43,0.0
4.750,1.383,0.43,-0.1
4.800,1.403,0.42,-0.1
4.850,1.424,0.41,-0.1
4.900,1.444,0.41,0.0
4.950,1.465,0.41,-0.1
5.000,1.485,0.41,-0.1
5.050,1.505,0.40,-0.1
5.100,1.525,0.39,0.0
5.150,1.543,0.40,0.1
5.200,1.564,0.41,0.1
5.250,1.586,0.42,0.0
5.300,1.607,0.41,-0.2
5.350,1.626,0.39,-0.1
5.400,1.646,0.39,-0.1
5.450,1.665,0.39,0.0
5.500,1.685,0.39,0.0
5.550,1.704,0.39,-0.1
5.600,1.723,0.38,-0.1
5.650,1.743,0.38,-0.1
5.700,1.762,0.38,-0.1
5.750,1.780,0.37,0.0
5.800,1.799,0.37,0.0
5.850,1.818,0.37,-0.1
5.900,1.836,0.36,-0.1
5.950,1.854,0.35,-0.1
6.000,1.872,0.35,0.0
6.050,1.888,0.36,0.1
6.100,1.907,0.36,0.0
6.150,1.926,0.36,-0.1
6.200,1.943,0.35,-0.2
6.250,1.960,0.34,-0.7
6.300,1.977,0.31,-1.6
6.350,1.994,0.20,-2.8
6.400,2.002,0.01,-3.3
6.450,1.994,-0.19,-2.8
6.500,1.978,-0.30,-1.6
6.550,1.962,-0.33,-0.6
6.600,1.945,-0.33,-0.1
6.650,1.929,-0.33,0.0
6.700,1.913,-0.33,0.0
6.750,1.896,-0.33,0.0
6.800,1.880,-0.33,7.7E-4
6.850,1.863,-0.33,0.0
6.900,1.847,-0.33,0.0
6.950,1.830,-0.33,0.0
7.000,1.814,-0.34,0.0
7.050,1.796,-0.33,0.0
7.100,1.780,-0.33,-0.1
7.150,1.764,-0.34,-0.1
7.200,1.747,-0.35,0.0
7.250,1.727,-0.34,0.1
7.300,1.713,-0.33,0.1
7.350,1.697,-0.33,0.0
7.400,1.679,-0.34,-0.1
7.450,1.663,-0.34,-0.1
7.500,1.645,-0.35,-0.1
7.550,1.629,-0.35,0.0
