"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,1.856,,
0.050,1.819,-0.77,
0.100,1.779,-0.73,0.6
0.150,1.746,-0.71,0.4
0.200,1.711,-0.69,0.3
0.250,1.674,-0.68,0.3
0.300,1.644,-0.67,0.3
0.350,1.608,-0.65,0.4
0.400,1.576,-0.63,0.4
0.450,1.546,-0.60,0.3
0.500,1.516,-0.59,0.2
0.550,1.488,-0.59,0.2
0.600,1.456,-0.58,0.2
0.650,1.430,-0.57,0.4
0.700,1.401,-0.54,0.6
0.750,1.371,-0.51,0.9
0.800,1.351,-0.45,0.9
0.850,1.326,-0.40,0.6
0.900,1.312,-0.38,0.2
0.950,1.291,-0.38,0.0
1.000,1.271,-0.39,0.0
1.050,1.253,-0.39,0.1
1.100,1.233,-0.37,0.2
1.150,1.213,-0.36,0.4
1.200,1.198,-0.34,0.5
1.250,1.179,-0.31,0.5
1.300,1.166,-0.28,0.4
1.350,1.152,-0.27,0.3
1.400,1.139,-0.26,0.3
1.450,1.124,-0.24,0.4
1.500,1.115,-0.22,0.4
1.550,1.104,-0.20,0.3
1.600,1.095,-0.19,0.3
1.650,1.083,-0.17,0.3
1.700,1.078,-0.16,0.4
1.750,1.068,-0.13,0.4
1.800,1.062,-0.11,0.4
1.850,1.059,-0.09,0.3
1.900,1.054,-0.07,0.2
1.950,1.049,-0.07,0.3
2.000,1.050,-0.05,0.4
2.050,1.042,-0.03,0.5
2.100,1.045,-4.44E-4,0.4
2.150,1.044,0.02,0.4
2.200,1.047,0.02,0.4
2.250,1.044,0.05,0.4
2.300,1.052,0.08,0.4
2.350,1.056,0.09,0.3
2.400,1.060,0.10,0.4
2.450,1.063,0.13,0.4
2.500,1.074,0.14,0.4
2.550,1.080,0.16,0.4
2.600,1.084,0.17,0.5
2.650,1.102,0.21,0.5
2.700,1.105,0.24,0.4
2.750,1.122,0.24,0.3
2.800,1.135,0.26,0.3
2.850,1.144,0.27,0.4
2.900,1.162,0.30,0.4
2.950,1.177,0.32,0.4
3.000,1.193,0.33,0.3
3.050,1.210,0.35,0.3
3.100,1.228,0.37,0.3
3.150,1.248,0.39,0.2
3.200,1.266,0.40,-0.2
3.250,1.288,0.38,-0.4
3.300,1.308,0.34,-0.1
3.350,1.319,0.34,0.5
3.400,1.336,0.39,1.2
3.450,1.363,0.48,1.5
3.500,1.382,0.55,1.3
3.550,1.417,0.62,0.8
3.600,1.447,0.65,0.3
3.650,1.482,0.63,-0.1
3.700,1.511,0.62,-0.2
3.750,1.542,0.61,0.1
3.800,1.573,0.62,0.3
3.850,1.604,0.65,0.4
3.900,1.636,0.67,0.4
3.950,1.672,0.69,0.2
4.000,1.706,0.70,0.1
4.050,1.741,0.69,0.1
4.100,1.777,0.70,
4.150,1.809,0.71,
4.200,1.847,,
