Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1
0.000,0.304,,
0.050,0.329,0.50,
0.100,0.354,0.50,-0.1
0.150,0.379,0.49,-0.1
0.200,0.404,0.48,0.0
0.250,0.426,0.49,0.1
0.300,0.451,0.50,0.1
0.350,0.477,0.50,0.0
0.400,0.502,0.50,-0.1
0.450,0.527,0.49,-0.1
0.500,0.551,0.49,0.0
0.550,0.576,0.49,0.0
0.600,0.600,0.49,0.0
0.650,0.625,0.49,0.0
0.700,0.649,0.49,0.0
0.750,0.673,0.49,0.0
0.800,0.698,0.49,0.0
0.850,0.722,0.49,0.0
0.900,0.746,0.49,0.0
0.950,0.771,0.49,0.0
1.000,0.795,0.49,0.0
1.050,0.819,0.49,0.0
1.100,0.843,0.49,0.0
1.150,0.868,0.49,0.0
1.200,0.892,0.48,0.0
1.250,0.916,0.48,-2.9E-4
1.300,0.941,0.48,0.0
1.350,0.965,0.49,0.0
1.400,0.989,0.49,0.0
1.450,1.013,0.49,0.0
1.500,1.037,0.49,0.0
1.550,1.062,0.49,0.0
1.600,1.086,0.49,0.0
1.650,1.111,0.49,0.0
1.700,1.135,0.49,0.0
1.750,1.159,0.49,0.0
1.800,1.184,0.49,0.1
1.850,1.209,0.50,0.0
1.900,1.232,0.50,-0.1
1.950,1.259,0.49,-0.1
2.000,1.283,0.48,0.0
2.050,1.304,0.48,0.0
2.100,1.331,0.49,0.0
2.150,1.355,0.49,-0.1
2.200,1.379,0.48,-0.1
2.250,1.403,0.47,-0.1
2.300,1.426,0.47,0.0
2.350,1.450,0.47,-0.1
2.400,1.473,0.47,0.0
2.450,1.497,0.46,0.0
2.500,1.519,0.47,0.0
2.550,1.542,0.47,-0.1
2.600,1.568,0.46,-0.1
2.650,1.588,0.45,-0.1
2.700,1.610,0.46,-0.1
2.750,1.635,0.45,-0.1
2.800,1.657,0.43,-0.1
2.850,1.677,0.43,0.0
2.900,1.699,0.44,0.0
2.950,1.723,0.44,-0.1
3.000,1.743,0.42,-0.1
3.050,1.764,0.42,0.0
3.100,1.785,0.42,
3.150,1.806,0.42,
3.200,1.827,,
