"Time (s) Run #7","Voltage, Ch A (V) Run #7","Current, Ch D (A) Run #7","Charge (C) Run #7"
0.000,1.038,-5.203E-5,
2.500E-4,,,-7.91E-8
5.000E-4,1.039,-2.644E-4,
7.500E-4,,,-1.78E-7
0.001,1.038,-1.314E-4,
0.001,,,-2.88E-7
0.002,1.037,-3.084E-4,
0.002,,,-4.32E-7
0.002,1.038,-2.669E-4,
0.002,,,-5.47E-7
0.003,1.040,-1.948E-4,
0.003,,,-6.59E-7
0.003,1.040,-2.510E-4,
0.003,,,-6.72E-7
0.004,1.041,1.982E-4,
0.004,,,-6.27E-7
0.004,1.039,-2.029E-5,
0.004,,,-5.82E-7
0.005,1.038,2.031E-4,
0.005,,,-5.34E-7
0.005,1.040,-1.296E-5,
0.005,,,-5.39E-7
0.006,1.040,-5.640E-6,
0.006,,,-5.23E-7
0.006,1.039,6.882E-5,
0.006,,,-4.41E-7
0.007,1.040,2.580E-4,
0.007,,,-2.62E-7
0.007,1.039,4.607E-4,
0.007,,,-6.70E-8
0.008,1.039,3.178E-4,
0.008,,,1.16E-7
0.008,1.039,4.131E-4,
0.008,,,2.97E-7
0.009,1.037,3.117E-4,
0.009,,,4.59E-7
0.009,1.040,3.374E-4,
0.009,,,6.40E-7
0.010,1.040,3.850E-4,
0.010,,,8.65E-7
0.010,1.040,5.156E-4,
0.010,,,1.10E-6
0.011,1.039,4.192E-4,
0.011,,,1.34E-6
0.011,1.038,5.290E-4,
0.011,,,1.54E-6
0.011,1.038,2.983E-4,
0.012,,,1.75E-6
0.012,1.038,5.290E-4,
0.012,,,2.04E-6
0.013,1.038,6.242E-4,
0.013,,,2.27E-6
0.013,1.040,3.020E-4,
0.013,,,2.37E-6
0.014,1.039,9.690E-5,
0.014,,,2.49E-6
0.014,1.040,4.070E-4,
0.014,,,2.55E-6
0.015,1.039,-1.900E-4,
0.015,,,2.44E-6
0.015,1.038,-2.461E-4,
0.015,,,2.42E-6
0.016,1.039,1.518E-4,
